id;name;child_ids
48;"[{""nl"" : ""Treinstation""}, {""fr"" : ""Gare""}, {""de"" : ""Bahnhof""}, {""es"" : ""Estación de tren""}, {""ca"" : ""Estació de tren""}, {""en"" : ""Trainstation""}]";
49;"[{""nl"" : ""Tramhalte""}, {""en"" : ""Tramstation""}, {""fr"" : ""Arrêt de tram""}, {""de"" : ""Straßenbahn stop""}, {""es"" : ""Parada de tranvía""}, {""ca"" : ""Parada de tramvia""}]";
50;"[{""nl"" : ""Veer""}, {""en"" : ""Ferry""}, {""fr"" : ""Ferry""}, {""de"" : ""Fähre""}, {""es"" : ""Ferry""}, {""ca"" : ""Ferry""}]";[51, 53]
51;"[{""en"" : ""Ferry for pedestrians and cyclists""}, {""fr"" : ""Ferry pour piétons et cyclistes""}, {""de"" : ""Fähre für Fußgänger und Radfahrer""}, {""es"" : ""Ferry para peatones y ciclistas""}, {""ca"" : ""Ferry per a vianants i ciclistes""}, {""nl"" : ""Veer voor voetgangers en fietsers""}]";
52;"[{""en"" : ""Townhall""}, {""fr"" : ""Maîrie""}, {""de"" : ""Rathaus""}, {""es"" : ""Ayuntamiento""}, {""ca"" : ""Ajuntament""}, {""nl"" : ""Gemeentehuis""}]";
53;"[{""en"" : ""Ferry for cars""}, {""fr"" : ""Ferry pour véhicules""}, {""de"" : ""Fähre für Autos""}, {""es"" : ""Ferry para coches""}, {""ca"" : ""Ferry per a cotxes""}, {""nl"" : ""Veer voor voertuigen""}]";
54;"[{""nl"" : ""Recreatie""}, {""en"" : ""Recreation""}, {""fr"" : ""Récréation""}, {""de"" : ""Erholung""}, {""es"" : ""Recreo""}, {""ca"" : ""Esbarjo""}]";[6, 55, 56, 58, 59, 61, 62, 63, 70, 75, 78, 80, 82, 83, 84, 88, 91, 92, 93, 94, 96, 97, 98, 99, 103, 113, 114, 115, 247, 263, 264, 280, 283, 284, 285, 286, 287, 323, 324, 325, 332, 334, 340, 359, 363, 386, 387, 406, 435, 437, 447, 468, 504, 517, 518, 522, 533, 534, 535, 536, 537, 538, 540, 542, 544, 545, 546]
55;"[{""nl"" : ""Aquarium""}, {""en"" : ""Aquarium""}, {""fr"" : ""Aquarium""}, {""de"" : ""Aquarium""}, {""es"" : ""Acuario""}, {""ca"" : ""Aquari""}]";[102, 341]
56;"[{""nl"" : ""Dolfinarium""}, {""en"" : ""Dolfinarium""}, {""fr"" : ""Bassin aux dauphins""}, {""de"" : ""Dolfinarium""}, {""es"" : ""Delfinario""}, {""ca"" : ""Delfinari""}]";
58;"[{""nl"" : ""Kust""}, {""en"" : ""Coast""}, {""fr"" : ""Rivage""}, {""de"" : ""Mitte Küste""}, {""es"" : ""Costa""}, {""ca"" : ""Costa""}]";[402, 403]
59;"[{""nl"" : ""Badplaats""}, {""en"" : ""Bathing""}, {""fr"" : ""Station thermale""}, {""de"" : ""Baden""}, {""es"" : ""Zona de bañar""}, {""ca"" : ""Zona de banyar""}]";
61;"[{""nl"" : ""Watersportclub""}, {""en"" : ""Beachclub""}, {""fr"" : ""Club de sport nautique""}, {""de"" : ""Beachclub""}, {""es"" : ""Club de playa""}, {""ca"" : ""Club de platja""}]";
62;"[{""nl"" : ""Surfclub""}, {""en"" : ""Surfclub""}, {""fr"" : ""Club de surf""}, {""de"" : ""Surfclub""}, {""es"" : ""Club de surf""}, {""ca"" : ""Club de surf""}]";
63;"[{""nl"" : ""Duikplaats""}, {""en"" : ""Divingspot""}, {""fr"" : ""Plongeoire""}, {""de"" : ""Tauchenspunkt""}, {""es"" : ""Zona de submarinismo""}, {""ca"" : ""Zona de submarinisme""}]";
68;"[{""nl"" : ""Concertzaal""}, {""en"" : ""Concert Hall""}, {""fr"" : ""Salle pour concert""}, {""de"" : ""Konzertsaal""}, {""es"" : ""Sala de conciertos""}, {""ca"" : ""Sala de concerts""}]";[479]
69;"[{""nl"" : ""Bos""}, {""en"" : ""Forest""}, {""fr"" : ""Forêt""}, {""de"" : ""Wald""}, {""es"" : ""Bosque""}, {""ca"" : ""Bosc""}]";
70;"[{""nl"" : ""Golf""}, {""fr"" : ""Golf""}, {""de"" : ""Golfplatz""}, {""es"" : ""Campo de golf""}, {""ca"" : ""Camp de golf""}, {""en"" : ""Golf Course""}]";
71;"[{""nl"" : ""Kayak - Kano""}, {""en"" : ""Kayak - Cano""}, {""fr"" : ""Canoé ou Kayak""}, {""de"" : ""Kajak - Cano""}, {""es"" : ""Kayak – Canoa""}, {""ca"" : ""Kayak – Canoa""}]";
72;"[{""nl"" : ""Kayak- Kano verhuur""}, {""en"" : ""Kayak - Cano rental""}, {""fr"" : ""Canoé ou Kayak à louer""}, {""de"" : ""Kajak - Cano Miete""}, {""es"" : ""Alquiler de Kayak – Canoa""}, {""ca"" : ""Lloguer de Kayak – Canoa""}]";
73;"[{""nl"" : ""Aanmeerplaats""}, {""en"" : ""Kayak - Cano access point""}, {""fr"" : ""Point d'accées de kayak ou canoé""}, {""de"" : ""Kajak - Cano Zugangspunkt""}, {""es"" : ""Punto de acceso Kayak – Canoa""}, {""ca"" : ""Punt d'accés Kayak – Canoa""}]";
74;"[{""nl"" : ""Sterrenwacht""}, {""en"" : ""Observatory""}, {""fr"" : ""Observatoire d'étoiles""}, {""de"" : ""Observatorium""}, {""es"" : ""Observatorio""}, {""ca"" : ""Observatori""}]";
75;"[{""de"" : ""Filmtheater""}, {""es"" : ""Cine""}, {""ca"" : ""Cinema""}, {""nl"" : ""Filmzaal""}, {""en"" : ""Movie theatre""}, {""fr"" : ""Cinéma""}]";
76;"[{""nl"" : ""Opera""}, {""en"" : ""Opera""}, {""fr"" : ""Opéra""}, {""de"" : ""Oper""}, {""es"" : ""Opera""}, {""ca"" : ""Opera""}]";
78;"[{""nl"" : ""Avonturenpark""}, {""en"" : ""Adventurpark""}, {""fr"" : ""Parc d'aventure""}, {""de"" : ""Adventurpark""}, {""es"" : ""Parque de aventuras""}, {""ca"" : ""Parc d'aventures""}]";
79;"[{""nl"" : ""Park""}, {""en"" : ""Park""}, {""fr"" : ""Parc""}, {""de"" : ""Park""}, {""es"" : ""Parque""}, {""ca"" : ""Parc""}]";[81]
80;"[{""nl"" : ""Natuurpark""}, {""en"" : ""Nature park""}, {""fr"" : ""Parc naturel""}, {""de"" : ""Naturpark""}, {""es"" : ""Parque natural""}, {""ca"" : ""Parc natural""}]";[82]
81;"[{""nl"" : ""Stadspark""}, {""en"" : ""City park""}, {""fr"" : ""Parc urbain""}, {""de"" : ""Stadtpark""}, {""es"" : ""Parque urbano""}, {""ca"" : ""Parc urbà""}]";
82;"[{""nl"" : ""Nationaal park""}, {""en"" : ""National park""}, {""fr"" : ""Parc national""}, {""de"" : ""Nationalpark""}, {""es"" : ""Parque nacional""}, {""ca"" : ""Parc nacional""}]";
83;"[{""nl"" : ""Speelplaats""}, {""en"" : ""Play-centre""}, {""fr"" : ""Cours pour jouer""}, {""de"" : ""Spiel-Mitte""}, {""es"" : ""Centro lúdico""}, {""ca"" : ""Centre lúdic""}]";
84;"[{""nl"" : ""Speelplein""}, {""en"" : ""Play-ground""}, {""fr"" : ""Plaine pour jouer""}, {""de"" : ""Spielplatz""}, {""es"" : ""Patio de recreo""}, {""ca"" : ""Pati d'esbarjo""}]";
85;"[{""nl"" : ""Waterval""}, {""en"" : ""Waterfall""}, {""fr"" : ""Cascade""}, {""de"" : ""Wasserfall""}, {""es"" : ""Cascada""}, {""ca"" : ""Cascada""}]";
88;"[{""nl"" : ""Sportplein""}, {""en"" : ""Sport-ground""}, {""fr"" : ""Plaine sportive""}, {""de"" : ""Sport-Boden""}, {""es"" : ""Campo deportivo""}, {""ca"" : ""Camp esportiu""}]";
91;"[{""nl"" : ""Relaxatie centrum""}, {""en"" : ""Relaxation-centre""}, {""fr"" : ""Centre de relaxation""}, {""de"" : ""Entspannung-Mitte""}, {""es"" : ""Centro de relajación""}, {""ca"" : ""Centre de relaxació""}]";
92;"[{""nl"" : ""Massagecentrum""}, {""en"" : ""Massage-centre""}, {""fr"" : ""Centre pour massage""}, {""de"" : ""Massage-Mitte""}, {""es"" : ""Centro de masajes""}, {""ca"" : ""Centre de massatges""}]";
93;"[{""nl"" : ""Sauna""}, {""en"" : ""Sauna""}, {""fr"" : ""Sauna""}, {""de"" : ""Sauna""}, {""es"" : ""Sauna""}, {""ca"" : ""Sauna""}]";
94;"[{""nl"" : ""Spa""}, {""en"" : ""Spa""}, {""fr"" : ""Spa""}, {""de"" : ""Badekurort""}, {""es"" : ""Balneario""}, {""ca"" : ""Balneari""}]";
96;"[{""nl"" : ""Theater""}, {""en"" : ""Theatre""}, {""fr"" : ""Théatre""}, {""de"" : ""Theater""}, {""es"" : ""Teatro""}, {""ca"" : ""Teatre""}]";
97;"[{""nl"" : ""Sportcomplex""}, {""en"" : ""Sportcomplex""}, {""fr"" : ""Complexe sportif""}, {""de"" : ""Sportkomplex""}, {""es"" : ""Complejo deportivo""}, {""ca"" : ""Complex esportiu""}]";
98;"[{""en"" : ""Sports Centre""}, {""fr"" : ""Espaces sportifs""}, {""nl"" : ""Sportcomplex""}, {""de"" : ""Sportzentrum""}, {""es"" : ""Centro deportivo""}, {""ca"" : ""Centre esportiu""}]";
99;"[{""nl"" : ""Voetbalveld""}, {""en"" : ""Soccerfield""}, {""fr"" : ""Terrain de foot""}, {""de"" : ""Fußballplatz""}, {""es"" : ""Campo de fútbol""}, {""ca"" : ""Camp de futbol""}]";
100;"[{""nl"" : ""Muurklimmen""}, {""en"" : ""Wallclimbing""}, {""fr"" : ""Mur d'escalade""}, {""de"" : ""Wandklettern""}, {""es"" : ""Rocódromo""}, {""ca"" : ""Rocòdrom""}]";
101;"[{""nl"" : ""Rotsklimmen""}, {""en"" : ""Rock Climbing""}, {""fr"" : ""Rochers d'escalade""}, {""de"" : ""Felsen-Klettern""}, {""es"" : ""Escalada""}, {""ca"" : ""Escalada""}]";
102;"[{""nl"" : ""Zwembad""}, {""en"" : ""Swimmingpool""}, {""fr"" : ""Piscine""}, {""de"" : ""Schwimmbad""}, {""es"" : ""Piscina""}, {""ca"" : ""Piscina""}]";
